trecho;sequencia;lat;long;modalidade;numero_poste;tipo_poste;num_poste;estru_mt_nv1;estru_mt_nv2;estru_mt_nv3;est_bt_nv1;est_bt_nv2;estai_ancora;base_reforcada;base_concreto;aterr_neutro;chave;trafo;equipamento;faixa;cort_arvores_isol;adiconal_1;qdt_adic_1;adiconal_2;qdt_adic_2;adiconal_3;qdt_adic_3;adiconal_4;qdt_adic_4;adiconal_5;qdt_adic_5;adiconal_6;qdt_adic_6;adiconal_7;rotacao_poste;modulo;municipio;estru_mt_nv1_exist;num_poste_exist;tipo_poste_desloc;tipo_poste_exist;tipo_poste_ret
T1;0;-17,041935;-49,224541;implantar;2255555;;;;N3;;A1;;;;;;;;;;;;;;;;;;;;;;;;topo1;mt7;Goiania;N1;46464546.0;;DT10/300;
T1;0;-17,041935;-49,224541;existente;2255555;;;;N3;;A1;;;;;;;;;;;;;;;;;;;;;;;;topo1;mt7;Goiania;N1;46464546.0;;DT10/300;
T1;0;-17,041935;-49,224541;retirar;2255555;;;;N3;;A1;;;;;;;;;;;;;;;;;;;;;;;;topo1;mt7;Goiania;N1;46464546.0;;DT10/300;
T1;0;-17,041935;-49,224541;deslocar;2255555;;;;N3;;A1;;;;;;;;;;;;;;;;;;;;;;;;topo1;mt7;Goiania;N1;46464546.0;;DT10/300;
T1;1;-17,04206183;-49,22429193;implantar;;PDT11/1000;;UP4;UP1;N2;SI1;SI2.2;S3.3;;BC;;1FS;;;;;;;;;;;;;;;;;;bissetriz2;;;;;;;
T1;1;-17,04206183;-49,22429193;existente;;PDT11/1000;;UP4;UP1;N2;SI1;SI2.2;S3.3;;BC;;1FS;;;;;;;;;;;;;;;;;;bissetriz2;;;;;;;
T1;1;-17,04206183;-49,22429193;retirar;;PDT11/1000;;UP4;UP1;N2;SI1;SI2.2;S3.3;;BC;;1FS;;;;;;;;;;;;;;;;;;bissetriz2;;;;;;;
T1;1;-17,04206183;-49,22429193;deslocar;;PDT11/1000;;UP4;UP1;N2;SI1;SI2.2;S3.3;;BC;;1FS;;;;;;;;;;;;;;;;;;bissetriz2;;;;;;;
T1;2;-17,04234952;-49,22372695;implantar;;;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;PDT10/150;
T1;2;-17,04234952;-49,22372695;existente;;;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;PDT10/150;
T1;2;-17,04234952;-49,22372695;retirar;;;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;PDT10/150;
T1;2;-17,04234952;-49,22372695;deslocar;;;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;PDT10/150;
T1;3;-17,0426372;-49,22316196;implantar;;;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;PDT11/300
T1;3;-17,0426372;-49,22316196;existente;;;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;PDT11/300
T1;3;-17,0426372;-49,22316196;retirar;;;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;PDT11/300
T1;3;-17,0426372;-49,22316196;deslocar;;;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;PDT11/300
T1;4;-17,04292489;-49,22259697;implantar;;;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;PDT10/300;;
T1;4;-17,04292489;-49,22259697;existente;;;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;PDT10/300;;
T1;4;-17,04292489;-49,22259697;retirar;;;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;PDT10/300;;
T1;4;-17,04292489;-49,22259697;deslocar;;;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;PDT10/300;;
T1;5;-17,04321258;-49,22203198;implantar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;5;-17,04321258;-49,22203198;existente;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;5;-17,04321258;-49,22203198;retirar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;5;-17,04321258;-49,22203198;deslocar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;6;-17,04350026;-49,22146699;implantar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;6;-17,04350026;-49,22146699;existente;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;6;-17,04350026;-49,22146699;retirar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;6;-17,04350026;-49,22146699;deslocar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;7;-17,04378794;-49,220902;implantar;;;;UP4;;;;;;;BC;;;;;;;;;;;;;;;;;;;;bissetriz2;;;;;;PDT10/600;
T1;7;-17,04378794;-49,220902;existente;;;;UP4;;;;;;;BC;;;;;;;;;;;;;;;;;;;;bissetriz2;;;;;;PDT10/600;
T1;7;-17,04378794;-49,220902;retirar;;;;UP4;;;;;;;BC;;;;;;;;;;;;;;;;;;;;bissetriz2;;;;;;PDT10/600;
T1;7;-17,04378794;-49,220902;deslocar;;;;UP4;;;;;;;BC;;;;;;;;;;;;;;;;;;;;bissetriz2;;;;;;PDT10/600;
T1;8;-17,04407562;-49,220337;implantar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;8;-17,04407562;-49,220337;existente;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;8;-17,04407562;-49,220337;retirar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;8;-17,04407562;-49,220337;deslocar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;9;-17,0443633;-49,21977201;implantar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;9;-17,0443633;-49,21977201;existente;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;9;-17,0443633;-49,21977201;retirar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;9;-17,0443633;-49,21977201;deslocar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;10;-17,04465098;-49,21920701;implantar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;10;-17,04465098;-49,21920701;existente;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;10;-17,04465098;-49,21920701;retirar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;10;-17,04465098;-49,21920701;deslocar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;11;-17,04493865;-49,21864201;implantar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;11;-17,04493865;-49,21864201;existente;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;11;-17,04493865;-49,21864201;retirar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;11;-17,04493865;-49,21864201;deslocar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;12;-17,04522633;-49,218077;implantar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;12;-17,04522633;-49,218077;existente;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;12;-17,04522633;-49,218077;retirar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;12;-17,04522633;-49,218077;deslocar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;13;-17,045514;-49,217512;implantar;;PDT10/1000;;UP4;;;;;1EA;;;TRAFO_150KVA;;;;;;;;;;;;;;;;;;;bissetriz1;;;;;;;
T1;13;-17,045514;-49,217512;existente;;PDT10/1000;;UP4;;;;;1EA;;;TRAFO_150KVA;;;;;;;;;;;;;;;;;;;bissetriz1;;;;;;;
T1;13;-17,045514;-49,217512;retirar;;PDT10/1000;;UP4;;;;;1EA;;;TRAFO_150KVA;;;;;;;;;;;;;;;;;;;bissetriz1;;;;;;;
T1;13;-17,045514;-49,217512;deslocar;;PDT10/1000;;UP4;;;;;1EA;;;TRAFO_150KVA;;;;;;;;;;;;;;;;;;;bissetriz1;;;;;;;
T1;14;-17,047802;-49,214406;implantar;;PDT10/1000;;UP4;;;;;;;BC;;;;;;;;;;;;;;;;;;;;bissetriz2;;;;;;;
T1;14;-17,047802;-49,214406;existente;;PDT10/1000;;UP4;;;;;;;BC;;;;;;;;;;;;;;;;;;;;bissetriz2;;;;;;;
T1;14;-17,047802;-49,214406;retirar;;PDT10/1000;;UP4;;;;;;;BC;;;;;;;;;;;;;;;;;;;;bissetriz2;;;;;;;
T1;14;-17,047802;-49,214406;deslocar;;PDT10/1000;;UP4;;;;;;;BC;;;;;;;;;;;;;;;;;;;;bissetriz2;;;;;;;
T1;15;-17,047725;-49,213698;implantar;;PDT10/1000;;UP4;;;;;;;BC;;;;;;;;;;;;;;;;;;;;bissetriz2;;;;;;;
T1;15;-17,047725;-49,213698;existente;;PDT10/1000;;UP4;;;;;;;BC;;;;;;;;;;;;;;;;;;;;bissetriz2;;;;;;;
T1;15;-17,047725;-49,213698;retirar;;PDT10/1000;;UP4;;;;;;;BC;;;;;;;;;;;;;;;;;;;;bissetriz2;;;;;;;
T1;15;-17,047725;-49,213698;deslocar;;PDT10/1000;;UP4;;;;;;;BC;;;;;;;;;;;;;;;;;;;;bissetriz2;;;;;;;
T1;16;-17,046803;-49,213231;implantar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;16;-17,046803;-49,213231;existente;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;16;-17,046803;-49,213231;retirar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;16;-17,046803;-49,213231;deslocar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
T1;17;-17,0462475;-49,2130015;implantar;;PDT10/300;;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;tangente;;;;;;;
